"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"FinishedVaccineProducts","FinishedVaccineProducts","","","",0,*,"","","","null {[]} {[]}
","WHO Vaccine PreQual DB - Finished Vaccine Products","WHO Vaccine PreQual DB - Finished Vaccine Products.
Logical model for the WHO PreQual DB as provided by the backend API at:
     https://extranet.who.int/prequal/vaccines/prequalified-vaccines
This model provides authoritative vaccine product IDs and a richer data structure compared to the CSV export.
Sub-objects with Identification.Id are modeled as separate logical models and linked via references.

Key fields from the API (FinishedVaccineProducts):
  ProductDetails.Identification.Id - Vaccine Product ID (authoritative)
  ProductDetails.Identification.Name - Product reference name (e.g. FVP-P-447)
  ProductDetails.Type - Product type code (e.g. Finished Vaccine Product)
  ProductDetails.DateOfPreQualifiedAcceptance - Date of prequalification
  ProductDetails.AssessmentProcedure - Assessment procedure code
  ProductDetails.ApplicantOrganization - Manufacturer/applicant with ID, name, address
  ProductDetails.Presentation - Presentation form (Vial, Ampoule, etc.)
  ProductDetails.PharmaceuticalForm - Pharmaceutical form details
  ProductDetails.DosageDetails.NoOfDosagesPerPrimaryContainer - Number of doses
  ProductDetails.NRADetails - Responsible NRA with ID, name, address
  ProductDetails.VaccineDetails - Vaccine type with full, abbreviated, and commercial names
  ProductDetails.StorageDetails - Storage temperature and shelf life
  ProductDetails.Status - Prequalification status code","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"FinishedVaccineProducts.productId","FinishedVaccineProducts.productId","","","",1,1,"","","","Identifier {[]} {[]}
","Vaccine Product ID (authoritative)","Vaccine Product ID (authoritative)","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.productId",1,1,"",""
"FinishedVaccineProducts.productName","FinishedVaccineProducts.productName","","","",1,1,"","","","string {[]} {[]}
","Product reference name (e.g. FVP-P-447)","Product reference name (e.g. FVP-P-447)","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.productName",1,1,"",""
"FinishedVaccineProducts.productType","FinishedVaccineProducts.productType","","","",1,1,"","","","code {[]} {[]}
","Product type code from PreQualDatabaseMetadata (e.g. FinishedVaccineProduct)","Product type code from PreQualDatabaseMetadata (e.g. FinishedVaccineProduct)","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.productType",1,1,"",""
"FinishedVaccineProducts.dateOfPrequal","FinishedVaccineProducts.dateOfPrequal","","","",1,1,"","","","dateTime {[]} {[]}
","Date of prequalification acceptance","Date of prequalification acceptance","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.dateOfPrequal",1,1,"",""
"FinishedVaccineProducts.assessmentProcedure","FinishedVaccineProducts.assessmentProcedure","","","",0,1,"","","","code {[]} {[]}
","Assessment procedure code from PreQualDatabaseMetadata (e.g. PrequalificationStandard)","Assessment procedure code from PreQualDatabaseMetadata (e.g. PrequalificationStandard)","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.assessmentProcedure",0,1,"",""
"FinishedVaccineProducts.status","FinishedVaccineProducts.status","","","",1,1,"","","","code {[]} {[]}
","Product status code from PreQualDatabaseMetadata (e.g. Prequalified)","Product status code from PreQualDatabaseMetadata (e.g. Prequalified)","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.status",1,1,"",""
"FinishedVaccineProducts.pharmaceuticalForm","FinishedVaccineProducts.pharmaceuticalForm","","","",0,1,"","","","code {[]} {[]}
","Pharmaceutical form code from PreQualDatabaseMetadata","Pharmaceutical form code from PreQualDatabaseMetadata","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.pharmaceuticalForm",0,1,"",""
"FinishedVaccineProducts.presentation","FinishedVaccineProducts.presentation","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Presentation (e.g. Vial, Ampoule)","Presentation (e.g. Vial, Ampoule)","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.presentation",1,1,"",""
"FinishedVaccineProducts.numDoses","FinishedVaccineProducts.numDoses","","","",0,1,"","","","decimal {[]} {[]}
","Number of doses per primary container","Number of doses per primary container","","","","","","","","","",,,,,"",,,,"FinishedVaccineProducts.numDoses",0,1,"",""
